mfg_number,quantity,price,mfg_name,description
ESY476M025AC3EA,1,2.15,KEMET,CAP ALUM 47UF 20% 25V RADIAL TH
ESH227M016AE3AA,1,2.15,KEMET,CAP ALUM 220UF 20% 16V RADIAL TH
ESS107M016AC2KA,1,2.15,KEMET,CAP ALUM RAD 105C
ESK337M016AE3AA,1,2.15,KEMET,CAP ALUM 330UF 20% 16V RADIAL TH
ESC107M016AC3AA,1,2.15,KEMET,CAP ALUM 100UF 20% 16V RADIAL TH
ESW107M016AE3EA,1,2.32,KEMET,CAP ALUM 100UF 20% 16V RADIAL TH
ESY106M100AE3AA,1,2.32,KEMET,CAP ALUM 10UF 20% 100V RADIAL TH
EDK475M016A9BAA,1,2.32,KEMET,CAP ALUM 4.7UF 20% 16V SMD
ESC226M035AC3AA,1,2.32,KEMET,CAP ALUM 22UF 20% 35V RADIAL TH
ESY476M050AE3AA,1,2.32,KEMET,CAP ALUM 47UF 20% 50V RADIAL TH
EDK476M016A9DAA,1,2.32,KEMET,CAP ALUM 47UF 20% 16V SMD
EDH106M025A9BAA,1,2.4,KEMET,CAP ALUM 10UF 20% 25V SMD
ESC107M035AE3AA,1,2.4,KEMET,CAP ALUM RAD 105C
ESH476M063AE3AA,1,2.48,KEMET,CAP ALUM 47UF 20% 63V RADIAL TH
ESK227M016AG3DA,1,2.48,KEMET,CAP ALUM 220UF 20% 16V RADIAL TH
ESC686M035AE3AA,1,2.56,KEMET,CAP ALUM 68UF 20% 35V RADIAL TH
EDK106M025A9BAA,1,2.56,KEMET,CAP ALUM 10UF 20% 25V SMD
EDK226M016A9BAA,1,2.56,KEMET,CAP ALUM 22UF 20% 16V SMD
EDK106M016A9BAA,1,2.56,KEMET,CAP ALUM 10UF 20% 16V SMD
EDK107M6R3A9DAA,1,2.56,KEMET,CAP ALUM 100UF 20% 6.3V SMD
ESH477M010AG3AA,1,2.56,KEMET,CAP ALUM 470UF 20% 10V RADIAL TH
EEV106M035S9BAA,1,2.56,KEMET,CAP ALUM 10UF 20% 35V SMD
EDK475M035A9BAA,1,2.56,KEMET,CAP ALUM 4.7UF 20% 35V SMD
ESK227M025AG3EA,1,2.65,KEMET,CAP ALUM 220UF 20% 25V RADIAL TH
EDH475M035A9BAA,1,2.65,KEMET,CAP ALUM 4.7UF 20% 35V SMD
ESY226M050AE2KA,1,2.65,KEMET,CAP ALUM 22UF 20% 50V RADIAL TH
EDK106M050A9DAA,1,2.73,KEMET,CAP ALUM 10UF 20% 50V SMD
EST107M025AE3AA,1,2.73,KEMET,CAP ALUM 100UF 20% 25V RADIAL TH
ESH107M035AG3AA,1,2.73,KEMET,CAP ALUM 100UF 20% 35V RADIAL TH
ESH107M035AE3AA,1,2.73,KEMET,CAP ALUM 100UF 20% 35V RADIAL TH
ESH336M063AG3AA,1,2.73,KEMET,CAP ALUM 33UF 20% 63V RADIAL TH
ESK105M350AE3AA,1,2.81,KEMET,CAP ALUM 1UF 20% 350V RADIAL TH
ESL475M400AGMAA,1,2.81,KEMET,CAP ALUM RAD 105C
ESL107M050AGMAA,1,2.81,KEMET,CAP ALUM 100UF 20% 50V RADIAL TH
ESE477M016AG3AA,1,2.81,KEMET,CAP ALUM 470UF 20% 16V RADIAL TH
ESK107M050AG3EA,1,2.81,KEMET,CAP ALUM 100UF 20% 50V RADIAL TH
ESK107M050AG3AA,1,2.81,KEMET,CAP ALUM 100UF 20% 50V RADIAL TH
EDK107M010A9GAA,1,2.81,KEMET,CAP ALUM 100UF 20% 10V SMD
ESK477M016AG3AA,1,2.81,KEMET,CAP ALUM 470UF 20% 16V RADIAL TH
EDK226M035A9DAA,1,2.89,KEMET,CAP ALUM 22UF 20% 35V SMD
ESC107M035AG3AA,1,2.89,KEMET,CAP ALUM 100UF 20% 35V RADIAL TH
EDK107M004A9DAA,1,2.89,KEMET,CAP ALUM 100UF 20% 4V SMD
