mfg_number,quantity,price,mfg_name,description
B32529C1224K000,1,3.31,EPCOS - TDK Electronics,CAP FILM 0.22UF 10% 100VDC RAD
B32529C3473J000,1,3.39,EPCOS - TDK Electronics,CAP FILM 0.047UF 5% 250VDC RAD
B32921C3103M000,1,3.47,EPCOS - TDK Electronics,CAP FILM 10000PF 20% 630VDC RAD
B32921C3103M026,1,3.47,EPCOS - TDK Electronics,FILM CAP MKP X2 0.010UF 20% 305V
B32529C1224J000,1,3.47,EPCOS - TDK Electronics,CAP FILM 0.22UF 5% 100VDC RADIAL
B32529C6103K,1,3.47,EPCOS - TDK Electronics,CAP FILM 10000PF 10% 400VDC RAD
B32520E6223K000,1,3.56,EPCOS - TDK Electronics,CAP FILM 0.022UF 10% 400VDC RAD
B32560J3104K000,1,3.56,EPCOS - TDK Electronics,CAP FILM 0.1UF 10% 250VDC 2DIP
B32921C3104M000,1,3.64,EPCOS - TDK Electronics,CAP FILM 0.1UF 20% 630VDC RADIAL
B32529C1154J289,1,3.64,EPCOS - TDK Electronics,CAP FILM 0.15UF 5% 100VDC RADIAL
B32921C3103K000,1,3.64,EPCOS - TDK Electronics,CAP FILM 10000PF 10% 630VDC RAD
B32921C3473M000,1,3.72,EPCOS - TDK Electronics,CAP FILM 0.047UF 20% 630VDC RAD
B32672Z4104K000,1,3.72,EPCOS - TDK Electronics,CAP FILM 0.1UF 10% 450VDC RADIAL
B32521C1104K000,1,3.72,EPCOS - TDK Electronics,CAP FILM 0.1UF 10% 100VDC RADIAL
B32921C3103M189,1,3.8,EPCOS - TDK Electronics,CAP FILM 10000PF 20% 630VDC RAD
B32529C8102K289,1,3.8,EPCOS - TDK Electronics,CAP FILM 1000PF 10% 630VDC RAD
B32520C3104K000,1,3.8,EPCOS - TDK Electronics,CAP FILM 0.1UF 10% 250VDC RADIAL
B32922C3154M000,1,3.89,EPCOS - TDK Electronics,CAP FILM 0.15UF 20% 630VDC RAD
B32529C1224J189,1,3.89,EPCOS - TDK Electronics,CAP FILM 0.22UF 5% 100VDC RADIAL
B32529C0334J000,1,3.89,EPCOS - TDK Electronics,CAP FILM 0.33UF 5% 63VDC RADIAL
B32529C0334K289,1,3.89,EPCOS - TDK Electronics,CAP FILM 0.33UF 10% 63VDC RADIAL
B32520C3104J000,1,3.89,EPCOS - TDK Electronics,CAP FILM 0.1UF 5% 250VDC RADIAL
B32922C3104M003,1,3.89,EPCOS - TDK Electronics,FILM CAP MKP X2 0.1F 20% 305VAC
B32521C1104J000,1,3.89,EPCOS - TDK Electronics,CAP FILM 0.1UF 5% 100VDC RADIAL
B32529C0474K000,1,3.89,EPCOS - TDK Electronics,CAP FILM 0.47UF 10% 63VDC RADIAL
B32921C3683K000,1,3.89,EPCOS - TDK Electronics,CAP FILM 0.068UF 10% 630VDC RAD
B32921C3473K000,1,3.97,EPCOS - TDK Electronics,CAP FILM 0.047UF 10% 630VDC RAD
B32921C3473K026,1,3.97,EPCOS - TDK Electronics,FILM CAP MKP X2 0.047UF 10% 305V
B32529C8472J000,1,3.97,EPCOS - TDK Electronics,CAP FILM 4700PF 5% 630VDC RADIAL
B32521C3104J000,1,3.97,EPCOS - TDK Electronics,CAP FILM 0.1UF 5% 250VDC RADIAL
B32520C3104K289,1,4.05,EPCOS - TDK Electronics,CAP FILM 0.1UF 10% 250VDC RADIAL
B32520C1154J000,1,4.05,EPCOS - TDK Electronics,CAP FILM 0.15UF 5% 100VDC RADIAL
B32529C8472K289,1,4.05,EPCOS - TDK Electronics,CAP FILM 4700PF 10% 630VDC RAD
B32921C3103K289,1,4.05,EPCOS - TDK Electronics,CAP FILM 10000PF 10% 630VDC RAD
B32529C0474J000,1,4.13,EPCOS - TDK Electronics,CAP FILM 0.47UF 5% 63VDC RADIAL
B32671L1222J000,1,4.13,EPCOS - TDK Electronics,CAP FILM 2200PF 5% 1.6KVDC RAD
B32529C3104J000,1,4.13,EPCOS - TDK Electronics,CAP FILM 0.1UF 5% 250VDC RADIAL
B32529C3104J189,1,4.13,EPCOS - TDK Electronics,CAP FILM 0.1UF 5% 250VDC RADIAL
B32921C3333K189,1,4.3,EPCOS - TDK Electronics,CAP FILM 0.033UF 10% 630VDC RAD
B32922C3104M000,1,4.22,EPCOS - TDK Electronics,CAP FILM 0.1UF 20% 630VDC RADIAL
B32529C8682K289,1,4.22,EPCOS - TDK Electronics,CAP FILM 6800PF 10% 630VDC RAD
B32529C0474K189,1,4.22,EPCOS - TDK Electronics,CAP FILM 0.47UF 10% 63VDC RADIAL
B32671L1122J000,1,4.22,EPCOS - TDK Electronics,CAP FILM 1200PF 5% 1.6KVDC RAD
B32529C8472K189,1,4.22,EPCOS - TDK Electronics,CAP FILM 4700PF 10% 630VDC RAD
B32922C3104M026,1,4.22,EPCOS - TDK Electronics,FILM CAP MKP X2 0.1UF 20% 305VAC
B32922C3104K000,1,4.22,EPCOS - TDK Electronics,CAP FILM 0.1UF 10% 630VDC RADIAL
B32922C3104K026,1,4.22,EPCOS - TDK Electronics,FILM CAP MKP X2 0.1UF 10% 305VAC
B32922C3223M000,1,4.22,EPCOS - TDK Electronics,CAP FILM 0.022UF 20% 630VDC RAD
B32921C3473K289,1,4.3,EPCOS - TDK Electronics,CAP FILM 0.047UF 10% 630VDC RAD
B32671L1152J000,1,4.3,EPCOS - TDK Electronics,CAP FILM 1500PF 5% 1.6KVDC RAD
B32671L0562J000,1,4.3,EPCOS - TDK Electronics,CAP FILM 5600PF 5% 1KVDC RADIAL
